"f_proposer_index","f_slot","f_graffiti","f_pool_name"
267443,4722439,"RP-GL v1.6.3 (💛)","rocket_pool"
396288,4722442,"RP-XL v1.6.3 gw:666460ffda9d","rocket_pool"
284133,4722545,"RP-GP v1.6.3","rocket_pool"
323022,4722673,"RP-GN v1.6.2 gw:655502ffac68","rocket_pool"
403584,4722684,"RP-NL v1.6.3 (RocketPoolRocket)","rocket_pool"
299457,4722856,"Rocket Pool ⚡️Allnodes","rocket_pool"
314845,4722876,"RP-GN v1.6.2 gw:663479ffa675","rocket_pool"
303031,4722898,"RP-GL v1.6.3 (wortels)","rocket_pool"
271971,4722906,"RP-GP v1.6.3","rocket_pool"
267675,4722988,"RP-BT v1.6.3","rocket_pool"
422409,4723012,"RP-NL v1.6.3 gw:667496ffb77c","rocket_pool"
295375,4723079,"RP-GN v1.6.2 gw:665476ffa275","rocket_pool"
268303,4723105,"RP-GL v1.6.3","rocket_pool"
267803,4723135,"RP-NL v1.6.3 gw:664487ffffff","rocket_pool"
400134,4723171,"RP-GL v1.6.3 (&#127795;)","rocket_pool"
411608,4723172,"Rocket Pool ⚡️Allnodes","rocket_pool"
393471,4723218,"RP-GL v1.6.3 gw:682493ffa578","rocket_pool"
411369,4723250,"RP-XT v1.6.3","rocket_pool"
299503,4723434,"RP-GL v1.6.3","rocket_pool"
412162,4723473,"RP-GL v1.6.3 (&#127795;)","rocket_pool"
266283,4723627,"RP-GN v1.6.3","rocket_pool"
332243,4723656,"RP-GL v1.6.3","rocket_pool"
263507,4723688,"RP-GT v1.6.3 (deukeyLovesJulie)","rocket_pool"
409270,4723689,"RP-XL v1.6.2 (King Shimmy)","rocket_pool"
313357,4723709,"RP-GN v1.6.2 gw:645495ff942f","rocket_pool"
299895,4723718,"RP-GL v1.6.3","rocket_pool"
281825,4723845,"Rocket Pool ⚡️Allnodes","rocket_pool"
281733,4723874,"RP-GP v1.6.3","rocket_pool"
395235,4723902,"RP-GL v1.6.2","rocket_pool"
265546,4724129,"RP-XL v1.6.3 gw:664478ffa372","rocket_pool"
267501,4724157,"RP-GL v1.6.3 (Guncheck's Block)","rocket_pool"
262072,4724196,"RP-GT v1.6.3 (|||)","rocket_pool"
327849,4724211,"RP-GN v1.6.2 gw:647503fffefc","rocket_pool"
406838,4724445,"RP-GL v1.6.3 (5353)","rocket_pool"
302374,4724462,"RP-GL v1.6.3","rocket_pool"
296208,4724530,"Rocket Pool ⚡️Allnodes","rocket_pool"
260588,4724698,"RP-GL v1.6.3 gw:651477ffb87a","rocket_pool"
396201,4724813,"Rocket Pool ⚡️Allnodes","rocket_pool"
332217,4724859,"RP-GL v1.6.3","rocket_pool"
385759,4724945,"RP-GL v1.6.3 gw:673468ff9574","rocket_pool"
